text,label,label_confidence,hate_speech,offensive_language,neither
"""<user>: lmao fucking snake bitches"" @ em",1,1.0,0,3,0
"""<user>: big booty hoes everywhere sheesh 😍"" damn 🌿👀🌿",1,1.0,0,3,0
"""<user>: stay tuned to <user> for an update on the report that <user> 1b <user> will be out 8-10 weeks"" <user> #bum",2,1.0,0,0,3
"""<user>: “<user>: ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut <url> yes lmfao""<user>",2,1.0,0,0,3
"""<user>: oregon chokes every year get off the field trash ass program"" rft",1,1.0,0,3,0
"""<user>: def not cowboy lol rt <user>: terrell owens was the best eagle & cowboy ever"" ..dude cried like a bitch on tv, over romo",1,1.0,0,3,0
"""<user>: lmfaoooo i hate black people <url> this is why there's black people and niggers",0,1.0,3,0,0
"""<user>: <user> <user> how could u do this to me bitch"" potent",1,1.0,0,3,0
"""<user>: <user> nah fam i gotta cheat with the hoes"" depends on the female i feel",1,1.0,0,3,0
"""<user>: <user> 👏👏👏👏🙌"" i got hicks lol",2,1.0,0,0,3
"""<user>: toto means ass or vagina?""i think pussy cause toto santi is like nasty pussy",1,1.0,0,3,0
"""<user>: but what if he actually does choose the ugly bitch over you? ""her ass must be fat!",1,1.0,0,3,0
"""<user>: bitch couldn't kill my vibe if ya tried. 🌈🌈🌈"" dis why i love miley :*",1,1.0,0,3,0
"""<user>: i'm tired of bitches saying i look mean.. 😒"" nigga you big af, wear tight shirts, and grim everybody.",1,1.0,0,3,0
"""<user>: ""stay beautiful you bitch""""",1,1.0,0,3,0
"""<user>: #wutkinda r purple. ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. but in still shitted on sum gurls",1,1.0,0,3,0
"""<user>: money getting taller and bitches getting blurry""",1,1.0,0,3,0
"""<user>: people always asking me what i'm mixed with."" she a bad asian bitch lol",1,1.0,0,3,0
"""<user>: “<user>: stop bringing weird niggers into my mentions! <user>” <url>",1,1.0,0,3,0
"""<user>: we don't love these hoes 👐🙅""",1,1.0,0,3,0
"""<user>: if yo girl cant have homeboys you a ol weak bitch ass nigga!""",1,1.0,0,3,0
"""<user>: <user> i think worst advice i gave you was "" don't be a pussy and speed up"" lol""",1,1.0,0,3,0
"""<user>: quote this tweet with your favorite animal.""pussy",1,1.0,0,3,0
"""<user>: i hate when strippers tell you they're ""dancers"". hoe, ballet dancers don't pop their pussy to beethoven. you a stripper!""",1,1.0,0,3,0
"""<user>: andrewbryant: poff has double vision after 2 beers poff: ... double pussy 😎"" smh",1,1.0,0,3,0
"""<user>: when bitches twerk on the computer.... me: ""in ya 👙, in ya damn 👙‼️""""",1,1.0,0,3,0
"""<user>: “<user>: “<user>: <user> prince, this is art. <url> nobody takin his bitch!",1,1.0,0,3,0
"""<user>: these bitches don't care they just play that role.""",1,1.0,0,3,0
"""<user>: fat hoes get chose"" lol",1,1.0,0,3,0
"""<user>: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",1,1.0,0,3,0
"""<user>: <user> <user> ol bitch ass"" <url>",1,1.0,0,3,0
"""<user>: just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls"" lol bitch fuck you",1,1.0,0,3,0
"""<user> : holy shit, freddie highmore was in charlie and the chocolate factory"" me: *rolls on the floor, laughing*",1,1.0,0,3,0
"""<user>: @ one of your followers with this 😍😩 <url> @ somebody, bitch if you don't",1,1.0,0,3,0
"""<user>: if ya bitch always bitching clearly she care!"" or just an annoying bitch!",1,1.0,0,3,0
"""<user>: these catfish hoes thinkin they slick.. but niggas catching on 😌""",1,1.0,0,3,0
"""<user>: can't worry about a bitch that ain't worried bout me"" #real",1,1.0,0,3,0
"""<user>: side hoes are for insecure niggas that can't handle a real one.""",1,1.0,0,3,0
"""<user>: 😂😂😂😂rt <user>: lmao! this bitch come scooting in the tent like she about to fuck some shit up!"" 😭😭😭",1,1.0,0,3,0
"""<user>: my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers 😂""",1,1.0,0,3,0
"""<user>: i'm hungry but ionn wanna spend my money on food😒""broke hoe problems 😂😂😂💀",1,1.0,0,3,0
"""<user>: <url> oh yeah fuck that bitch",1,1.0,0,3,0
"""<user>: guess what? i also have zero time for your mansplaining! adios!"" stfu pussy",1,1.0,0,3,0
"""<user>: i ain't sharing no bitch if you mines you mines 💯""",1,1.0,0,3,0
"""<user>: money only impress the simple broke bitches""",1,1.0,0,3,0
"""<user>: these hoes is crazy""",1,1.0,0,3,0
"""<user>: you ain't ever gonna be a slice bitch."" kevin hart. (:",1,1.0,0,3,0
"""<user>: oomf so fuckin fine tho 😩 dam"" @ her, don't be no bitch.",1,1.0,0,3,0
"""<user>: #newsatquestions yeah bitch, yeah bitch, call me _______: a.) maybe b.) steve-o c.) later d.) jesse pinkman"" <user>",1,1.0,0,3,0
"""<user>: hickies in between her thighs right by her pussy >>>"" its only right",1,1.0,0,3,0
"""<user>: would you still love me when i'm no longer young and beautiful?"" no. ugly monkey ass.",1,1.0,0,3,0
"""<user>: <user> yea, i'm on my ipad. i don't work this friday. let's ball this faggot up <user>""i work 2-5",1,1.0,0,3,0
"""<user>: “<user>: i love eating pussy lol i never get full lol” i can eat that shit forever lol"" and ever.",1,1.0,0,3,0
"""<user>: “<user>: ""<user>: “<user>: no slushes 😥”hoes nasty anyway fam""😴”them hoes taste like meds""🍇🍇🍼",1,1.0,0,3,0
"""<user>: yo bitch is gucci mane rt <user> : my bitch a stoner 💯💯 <url>",1,1.0,0,3,0
"""<user>: i can ride your bitch with no handle bars""",1,1.0,0,3,0
"""<user>: and if you ain't a hoe get up out my traphoussseeeee""",1,1.0,0,3,0
"""<user>: 15 sad tv character deaths we're still bitter over... <url> <url> stark was the man",2,1.0,0,0,3
"""<user>: these harbor bitches are all ""party bus hoes"""" lol all?",1,1.0,0,3,0
"""<user>: <user> pussy"" love it",1,1.0,0,3,0
"""<user>: ultraviolence video, its coming you little bitch! #mtvhottest lana del rey <url> bitchy promo",1,1.0,0,3,0
"""<user>: on my way to fuck your bitch <url> lmfao kittycopter",1,1.0,0,3,0
"""<user>: a smuggler explains how he helped fighters along the ""jihadi highway"": <url>",2,1.0,0,0,3
"""<user>: ""<user>: aww their avis look so cute together 💑 <url> 💀💀💀"" do i gotta get ike avi on this bitch ?",1,1.0,0,3,0
"""<user>: ""<user>: its simple, dont be a hoe=dont worry about being exposed 😜"" fight me""why ?",1,1.0,0,3,0
"""<user>: whys this bitch boosting herself <url> her size isn't exactly the most healthy tho",1,1.0,0,3,0
"""<user>: <user> bet not be no bitches! 😂👐🔫🔫🔪"" 😂😂 kim bye <exclaim>",1,1.0,0,3,0
"""<user>: damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. drive these bitches loco",1,1.0,0,3,0
"""<user>: i'm making marack my girlfriend ."" <user> aye b you pullin hoes just like o taught you",1,1.0,0,3,0
"""<user>: “<user>: i must be a bitch” you are 😂😂😂 sike naw"" this why we always beefing 😂",1,1.0,0,3,0
"""<user>: down 6-1, #yankees look to rally in the bottom of the 9th."" #rallycap",2,1.0,0,0,3
"""<user>: “<user>: don't take advantage of a nice person”@ hoes""@ everyjuan",1,1.0,0,3,0
"""<user>: sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",1,1.0,0,3,0
"""<user>: <user> cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",1,1.0,0,3,0
"""<user>: <user> ewww i said that last sunday..as in the last sunday i was there. read it again nigs""😳😳😳😳😳",1,1.0,0,3,0
"""<user> my pussy still fresh"" <----- something stank girls say.",1,1.0,0,3,0
"""<user>: <user> <user> yeah texans are so much better you fucking retard"" i see that you're mad about this.",1,1.0,0,3,0
"""<user>: i hate when boys deny that they have bitches 👐😩"" smh",1,1.0,0,3,0
"""<user>: im a boss ass bitch"" ...that needs to sit in a corner",1,1.0,0,3,0
"""<user>: he's a hoe , i can't""",1,1.0,0,3,0
"""<user>: me and paul thinkin bout gettin rentals for da weekend 🚙💨💨""oooh shit bitches betta stay out da streets",1,1.0,0,3,0
"""<user>: hot meat <url> sexy as fuck scally lad. i would love to meet him and his trainers.",1,1.0,0,3,0
"""<user>: sniff <url> perved up scally lad. fuck yeah.",1,1.0,0,3,0
"""<user>: these bitches love sosa""",1,1.0,0,3,0
"""<user>: what should i name my cat, ideas?"" mr pussy",1,1.0,0,3,0
"""<user>: <user> u see the damn phone ringing? 😣😒😞"" when you married bitches makes demands <exclaim> you haven't called me",1,1.0,0,3,0
"""<user>: tevin is my favorite sophomore i think he's so funny"" hes really not. lmaoo hes a little hoe",1,1.0,0,3,0
"""<user>: 10 sex positions <url> <url> this what u call fucking the soul outta bitch 😭",1,1.0,0,3,0
"""<user>: one mans trash 🚮 is another mans treasure 🏆""",2,1.0,0,0,3
"""<user>: i don't got no type. bad bitches is the only thing i like"" *iongotnotype",1,1.0,0,3,0
"""<user>: god teeth , gold chain white bitches , cocaine""",1,1.0,0,3,0
"""<user>: in d.c., we call them rollers, in chiraq we call them thots."" all across america they have been known as a hoe.",1,1.0,0,3,0
"""<user>: i'm gonna miss that bitch of a bus driver...""no you won't. don't lie",1,1.0,0,3,0
"""<user>: hate when bitches try and put you in the friendzone. bitch i'm tryin to score put me in the endzone 🔥🔥🔥"" on. my. soul!",1,1.0,0,3,0
"""<user>: <user> yall both gimped up <question> "" ain't tht a bitch huh lol",1,1.0,0,3,0
"""<user>: that long distance shit wack i knew the bitch was cheating""- uh oh",1,1.0,0,3,0
"""<user>: he's doing it right 😍👸💞 <url> no bitches smh",1,1.0,0,3,0
"""<user>: they ban dat pussy for life & he gotta pay 2.5 millon dollar fine""",1,1.0,0,3,0
"""<user>: sitting on my window sill, window open, bird tries to fly in. smacked it. #protecttheanimals"" <user>",2,1.0,0,0,3
"""<user>: but a nigga gon be a nigga, be a nigga."" you sound fuckin retarded",1,1.0,0,3,0
"""<user>: a video an entire media will likely mock. <url> i am such a crybaby",2,1.0,0,0,3
"""<user>: <user> <user> i'm not even shy stfu"" kikis mom: hi angelique angelique: smiles *dips cracker in soup*",1,1.0,0,3,0
"""<user>: tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville. smh."" 😂😂😂😂",1,1.0,0,3,0
"""<user>: karma is a bitch #damn #godprotectshisangels 🙌"" *sips tea*",1,1.0,0,3,0
"""<user>: fuckin hot gym pussy <url> fuck yeah",1,1.0,0,3,0
"""<user>: jihadi patron hajjaj al-ajmi is arrested at kuwait airport <url>",2,1.0,0,0,3
"""<user>: i could never have a bby by a lil dick thts y i got a abortion by the last bitch""- oh my god",1,1.0,0,3,0
"""<user>: watch women try to argue with me like they have a dick and actually fucked some pussy before"" i hate when bitches do that",1,1.0,0,3,0
"""<user>: and smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1,1.0,0,3,0
"""<user>: tweety bird tho 😂😂😂😂<url>",2,1.0,0,0,3
"""<user>: my pussy sweet like watermelon <url> thotermelon",1,1.0,0,3,0
"""<user>: loud bitches annoy me""",1,1.0,0,3,0
"""<user>: ""<user>: ""<user>: i swear if oomf try talking to me tomorrow.."" @"" <user>"" pussy",1,1.0,0,3,0
"""<user>: you bitches be pretending to be tf crazy.."" you ain't never lied...",1,1.0,0,3,0
"""<user>: photo: <url> he is in sole heaven",2,1.0,0,0,3
"""<user>: side bitch sunday 😂😂😂"" 😂😂😂",1,1.0,0,3,0
"""<user>: facts what baldheaded bitch made this shit. 👊👊😫😒 <url> lmao 😩😂",1,1.0,0,3,0
"""<user>: fuck wit us and then we tweakin hoe"" shmurda!",1,1.0,0,3,0
"""<user>: we actin like it's the 7th day <user> <url> 👻spook",2,1.0,0,0,3
"""<user>: i'll break that lil bitch neck and won't even feel sorry about it"" savage",1,1.0,0,3,0
"""<user>: this is so fucking hot <exclaim> #scally #sneakersex #sockfetish #sniff #trainersex <url> love me some kinky scallies",1,1.0,0,3,0
"""<user>: i can turn yo bitch into a eaterrrrrrrrr""",1,1.0,0,3,0
"""<user>: i don't trust dese hoes nikki told 51st where i stay at all my fans screen shot asap"" we finna come to chiraq and shoot sumn",1,1.0,0,3,0
"""<user>: “<user>: aye yall ima tryout for the bowling team frfr” tryouts passed tho"" no theres two more retard",1,1.0,0,3,0
"""<user>: now u got what u want bitch ! enjoy it <url> now this is a crazy party i would love to attend.",1,1.0,0,3,0
"""<user>: colored contacts in your eyes? blinders on mine. cause i can't see you at all."" lmao",2,1.0,0,0,3
"""<user>: facts ""<user>: only the dudes with hoes say they don't got hoes”"" <user>",1,1.0,0,3,0
"""<user>: i'm rea start smacking bitches period !"" bluffin at its best",1,1.0,0,3,0
"""<user>: lifes a bitch, and then you die thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:",1,1.0,0,3,0
"""<user>: one of us is on drugs, and its me but you're still wrong 😂 <user>"" hahahahahahah im a bitch sometimes (:",1,1.0,0,3,0
"""<user>: ""<user>: ""<user>: ""<user>: <user> swears i'm #1 man"" easily"" easily"" behind austin"" nip?",2,1.0,0,0,3
"""<user>: this is a true ride or die bitch 💯 <url> what the fuck hahahahah",1,1.0,0,3,0
"""<user>: all i see is bruno's bitch ass on my twitter now. wtf"" bruno's all that she sees (drake voice)",1,1.0,0,3,0
"""<user>: <user> i'm about to cool faggot chill"" tf is cool nigga",1,1.0,0,3,0
"""<user>: <user> i'm so sure bitch"" frfr tf",1,1.0,0,3,0
"""<user>: twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, fox, etc are all keeping quiet.",1,1.0,0,3,0
"""<user>: got a couple bitches saying they know me but i’ma let the money talk for me 😎👌"" and i'm like... #wwyd",1,1.0,0,3,0
"""<user>: grudges are for weirdos""and bitches",1,1.0,0,3,0
"""<user>: <user> brownies tonight"" what kind <mixedpunct> <mixedpunct>",2,1.0,0,0,3
"""<user>: no text back? i don't give a fuck, i'll text another bitch"" damn someone is hurt lol",1,1.0,0,3,0
"""<user>: using y=mx+b to find the slope of that ass""",1,1.0,0,3,0
"""<user>: fit lads! nice gear! <url> these scally lads n trainers would get it",2,1.0,0,0,3
"""<user>: hell yeah bro! <url> fuck yeah sexy scally lad in hot gear",1,1.0,0,3,0
"""<user>: helping out a mate <exclaim> <url> i love scally play. fuck yeah",1,1.0,0,3,0
"""<user>: next year bitches is gonna be like you gotta promise you won't expose me 😂😂😭""",1,1.0,0,3,0
"""<user>: “<user>: so hot <exclaim> rt <user>: lick it, bitch <url> fuck yeah. eat that trainer u dirty fucker",1,1.0,0,3,0
"""<user>: “<user>: y'all think celebrity pussy different from the locals? 😂” yeah meghan goods is""",1,1.0,0,3,0
"""<user>: need these sox <url> fuck yeah. i love a kinky scally lad w/ rank sox and sneaks",1,1.0,0,3,0
"""<user>: ""<user>: <user> yasss"" *trys new things with bestfriend*"" *bitch who do you love*",1,1.0,0,3,0
"""<user>: rawr <exclaim> rt <user>: ""my"" sexy french scally. i love him! #frenchscally <url> sexy scally woof woof",2,1.0,0,0,3
"""<user>: nothin in life is free.. some of you bitches need to write that on ya panties""😭😂",1,1.0,0,3,0
"""<user>: <user> if one of you bitches want some of my burrito u can catch me at potosino"" huh? haha",1,1.0,0,3,0
"""<user>: hardcore way to eat mac and cheese 1. boil water 2. snort cheese powder 3. drink boiling water 4. fuck bitches""",1,1.0,0,3,0
"""<user>: #yourenotmytype if my fade is perpetually fresher than yours."" that's a real ass bitch rite there",1,1.0,0,3,0
"""<user>: annoying bitch that i love <url> judyann's so pretty <exclaim>",1,1.0,0,3,0
"""<user>: <url> lmao bitch got on some huggies",1,1.0,0,3,0
"""<user>: hi bitch no bitch bye bitch"" <url>",1,1.0,0,3,0
"""<user>: does he look like a bitch?"" <user>",1,1.0,0,3,0
"""<user>: chase money 💰 not 🙅 hoes 👯 💯💯""",1,1.0,0,3,0
"""<user>: can't stand a ""i don't know what i want"" ass nigga 😴"" bitch*",1,1.0,0,3,0
"""<user>: ""<user>: ""<user>: i'm on my way <url> love a #chav""hot"" sexy scally fucker.",1,1.0,0,3,0
"""<user>: when a bitch don't want a real job they just become strippers lol"" lol.",1,1.0,0,3,0
"""<user>: awww meat meat in his feelins""i ainn n my feelings bitch",1,1.0,0,3,0
